Run,Iteration Number,Time to Solve(ms),Success
0,1,0.0330,1
0,2,0.0620,1
0,3,0.0040,1
0,4,0.0440,1
0,5,0.0140,1
0,6,0.0130,1
0,7,0.0040,1
0,8,0.0090,1
0,9,0.0030,0
1,1,0.0250,1
1,2,0.0470,1
1,3,0.0250,1
1,4,0.0250,0
2,1,0.0050,1
2,2,0.0050,1
2,3,0.0100,1
2,4,0.0030,1
2,5,0.0380,1
2,6,0.0030,0
3,1,0.0170,1
3,2,0.0460,1
3,3,0.0050,1
3,4,0.0300,1
3,5,0.0080,0
4,1,0.0390,1
4,2,0.0360,1
4,3,0.0280,1
4,4,0.0070,0
5,1,0.0300,1
5,2,0.0340,1
5,3,0.0050,1
5,4,0.0150,1
5,5,0.0080,1
5,6,0.0120,0
6,1,0.0210,1
6,2,0.0100,1
6,3,0.0170,1
6,4,0.0200,1
6,5,0.0020,1
6,6,0.0040,0
7,1,0.0160,1
7,2,0.0030,1
7,3,0.0030,1
7,4,0.0080,1
7,5,0.0050,0
8,1,0.0480,1
8,2,0.0260,1
8,3,0.0080,1
8,4,0.0040,1
8,5,0.0030,0
9,1,0.0100,1
9,2,0.0270,1
9,3,0.0030,1
9,4,0.0030,0
